,Trial,Data,n,μ,τ,μ_prop,a,b,τ_prop
0,0,[10.2],1,12.0,0.0625,,25.0,0.5,40.123
1,1,[10.2],1,10.202799517238804,40.1855,4.586050740343505,25.5,16.258213144998848,0.0920035507759493
2,2,[10.2],1,10.201400847979976,80.3085,51.93315586473327,26.0,887.0863623600596,25.446527611183143
3,3,[10.2],1,10.200934140984707,120.4315,14.677131681169184,26.5,897.108716405324,200.9171570111311
4,4,[10.2],1,10.200700696648177,160.5545,58.408834166038545,27.0,2059.154562229626,71.77953510265725
5,5,[10.2],1,10.200560600964232,200.67749999999998,27.052303310255958,27.5,2201.154625660058,50.27997982573985
6,6,[10.2],1,10.200467191720946,240.80049999999997,0.16176686877217783,28.0,2251.537687858498,15.847601192191934
7,7,[10.2],1,10.200400464895244,280.9235,50.37626676575858,28.5,3058.603893475197,101.29020876818412
8,8,[10.2],1,10.200350416528444,321.0465,57.04767509966457,29.0,4155.956224597063,84.11527501162662
9,9,[10.2],1,10.200311488096306,361.16949999999997,3.9155646710719445,29.5,4175.703288298802,47.12041706590958
10,10,[10.2],1,10.200280344138,401.29249999999996,41.131674979005666,30.0,4654.087546802225,220.58618793164374
11,11,[10.2],1,10.20025486191581,441.41549999999995,3.4830726965084153,30.5,4676.64610300242,48.16611867900309
12,12,[10.2],1,10.20023362617942,481.53849999999994,26.743047843314635,31.0,4813.482318975519,379.3697044606656
13,13,[10.2],1,10.200215657087975,521.6614999999999,16.75826035594642,31.5,4834.987708423708,68.29293184383636
14,14,[10.2],1,10.200200254724006,561.7845,9.200695688434164,32.0,4835.487012977264,211.77976847125626
15,15,[10.2],1,10.200186905795324,601.9075,91.70605901732259,32.5,8157.1058412449,566.0089321759356
16,16,[10.2],1,10.20017522532029,642.0305000000001,4.76368172687872,33.0,8171.8826194282365,219.93976247592494
17,17,[10.2],1,10.200164918892886,682.1535000000001,40.958730676084684,33.5,8644.932375830193,228.67008994736992
18,18,[10.2],1,10.20015575752499,722.2765000000002,19.604520537628172,34.0,8689.154879101528,35.49232599626558
19,19,[10.2],1,10.200147560432555,762.3995000000002,13.069823432222764,34.5,8693.272822367597,76.94556921208586
